id,title,category,description,image,price
1,Wireless Mouse,Electronics,Ergonomic wireless mouse with 2.4 GHz connection,mouse.jpg,25.99$
2,Gaming Keyboard,Electronics,Mechanical keyboard with RGB backlight,keyboard.jpg,55.99$
3,Yoga Mat,Fitness,Non-slip mat for home workouts,yoga.jpg,9.99$
4,Blender,Kitchen,500W blender with multiple speed settings,blender.jpg,80.99$
5,Running Shoes,Footwear,Lightweight running shoes for daily training,shoes.jpg,40.99$
6,Smart Watch,Electronics,Track your heart rate and steps with this smart watch,watch.jpg,26.99$
7,Electric Kettle,Kitchen,Stainless steel kettle with auto shut-off,kettle.jpg,65$
8,Dumbbells Set,Fitness,Adjustable dumbbells ideal for strength training,dumbbells.jpg,35$
9,Backpack,Bags,Durable and spacious backpack with laptop compartment,backpack.jpg,45$
10,Sunglasses,Fashion,UV-protected sunglasses with modern frame design,sunglasses.jpg,15.9$
